,0
sysBP,0.29327695689089034
diaBP,0.2595159019226614
pulse_pressure,0.15044818032684842
age,0.06681550165715322
BMI,0.06120476294034914
totChol,0.044651189079330494
heartRate,0.038522869375432665
glucose,0.03723226711445278
cigsPerDay,0.021300171013171623
currentSmoker,0.009445471754898736
BPMeds,0.009298928249938073
male,0.00709422523224597
diabetes,0.0011935744426270747
